Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
PLj2On29-fM,The ONLY Data Analyst Project You Need to Get Hired in 2026,30-Jun-25,592,40193,2217.6812,1477,217.691,508353,5.06
tNb3mbEbkcY,5 MISTAKES Google Data Analytics Certificate Graduates Make,9-Jul-25,669,1447,112.426,24,7.072,38743,2.44
ZgBbsGLVqYE,3 High Paying Remote Jobs in Tech You Never Heard Of (No Math or Coding Required),11-Jul-25,634,3292,234.1875,73,28.775,47126,4.14
_8GBpihMjfI,There's No More Data Analyst Jobs…Now What?,15-Jul-25,484,98725,4759.1582,4181,484.975,1890061,3.79
InvPG20iGSc,How to Land A Data Analyst Job Using AI & LinkedIn,1-Aug-25,4886,1638,214.6958,29,0.447,25368,2.63
H3M5SKqwM1o,AI is Taking Over the Data Analyst Job Market…Now What?,11-Aug-25,530,6273,323.4706,112,46.938,58665,5.58
H4ifLpr4Msk,Build Wealth in Data Analytics,21-Aug-25,138,1273,18.1486,9,0.024,5569,5.57
GbPjHXLFZZ0,"I Analyzed 3,855 Data Analyst Job Postings...These Skills Get You Hired",22-Aug-25,816,11198,961.5564,251,109.293,153972,4.09
f1s0zFR9-nM,Data Analyst Certificates are Dead…Now What?,28-Aug-25,559,2077,112.0516,20,13.001,41674,3.44
dhD7ksPpcCg,5 High Paying Data Analyst Jobs Hiring Right Now,29-Aug-25,696,3195,223.3477,52,25.135,47413,3.82
XPhdpGHFhak,"I Landed 3 Data Analyst Interviews In 30 Days, Here's How",3-Sep-25,454,8905,386.2757,252,33.047,109653,5.51
q4wVcpmlN3Q,McKinsey Hard SQL Interview Question for Data Analysts and Data Scientists,5-Sep-23,1504,111,4.2653,1,0.029,1364,5.21
q2NQlv2RCW0,ATS Myths: The Truth About AI and Your Applications,5-Sep-25,3980,404,57.5466,6,0.108,10457,1.24
rCCeQPief4Y,"AI will take your job, unless you’re in this career",5-Sep-25,28,1228,5.4767,1,0.011,5682,2.25
zqBaMIMhcGw,STOP Wasting Time On These 3 FAKE Analyst Skills,6-Sep-25,587,33423,1889.5202,1175,156.701,488343,5.14
1dmqFDd5-Rs,"Every day you wait, you’re losing money",6-Sep-25,41,1013,3.546,0,0.005,2804,2.1
AznCwauK890,Don't be cut out in the next round of job cuts.,9-Sep-25,32,1142,3.6219,0,0.006,3261,2.05
J_Z-e8Mpg6I,"The EXACT Roadmap That Got Me Hired as a Data Analyst ($328,000)",10-Sep-25,586,4710,317.7911,115,31.939,81156,3.68
abCgidpU2XA,Where will you be in 6 months?,10-Sep-25,28,1141,2.9752,0,0.007,3979,2.66
rOS7vy_d8w8,Are you stuck in tutorial loop?,12-Sep-25,33,1168,3.829,4,0.008,4502,1.78
J_j3mTGUwdE,You don't need to love your job,13-Sep-25,35,1369,5.2943,0,0.014,5749,2.59
4U9nm7R0c5A,Companies don't care about your degree,14-Sep-25,40,1458,5.6866,1,0.01,6616,3.05
OJEGb7jUnZM,You're paying more tax than you realize...,15-Sep-25,30,1179,3.4763,1,0.013,5263,2.13
qEvqZRvOlw4,Where will you be in 5 years?,17-Sep-25,30,1499,4.238,3,0.027,7449,2.93
yUzq4nprsWI,The PERFECT Skill Stack To Get Hired As a Data Analyst In 2026,18-Sep-25,816,2062,175.8522,38,16.365,42066,2.85
biJHe3M4kIU,What I’d Learn Instead of Data Science & ML in 2026,22-Sep-25,564,88298,4452.0373,2149,497.452,1202900,5.2
fkprdaDU7As,The WORST Data Analyst Certificates in 2026,25-Sep-25,578,3191,222.1474,56,25.045,54381,4.1
-6lQ3crwkBU,No experience? No problem!,25-Sep-25,61,2606,21.8789,12,0.055,12178,4.88
Rymznc_R6Qw,Data Analyst Interview Prep with the Pros,26-Sep-25,3794,939,117.8446,10,0.662,16295,2.3
IfCtviW3c5s,In 30 days could you can be landing your first data job?,26-Sep-25,42,2567,14.6179,9,0.084,25268,3.23
8UnzeRafSHc,"Bootcamps are flashy, not for learning.",29-Sep-25,46,1598,7.7825,6,0.056,11492,2.33
vd415F_Yopw,How I Became a Data Analyst and ACTUALLY Got Hired (Copy Me),30-Sep-25,623,6255,403.2391,100,43.275,107156,3.65
6h97jBAOjzQ,Focus on these 3 in-demand skills.,1-Oct-25,49,6450,51.2943,29,0.512,73032,4.1
5MBWfuVuvgg,Meta SQL Interview Question: Page With No Likes,2-Oct-22,427,273,7.8607,0,0.648,1173,6.31
L3iD_fiwvLI,Don't Become a Data Analyst (Do THIS Instead),2-Oct-25,635,158312,10178.7391,7238,1306.002,3904031,2.62
sE7UnndDqa8,Companies still care about your degree??,3-Oct-25,55,1739,12.0052,4,0.158,11741,3
qF8_nGw1NI8,5 Boring But High Paying Data Analyst Jobs in 2026,6-Oct-25,689,5767,450.4053,103,58.674,95603,3.47
nRHhCXTSMGg,Companies are not hiring analysts anymore...,8-Oct-25,83,3785,43.1237,12,0.412,25631,4.8
OZVUUftNHH8,Data Analyst vs Data Scientist (What I'd Choose in 2026),9-Oct-25,461,5159,299.1944,91,25.298,76616,4.12
JiPIV-fCvsw,Learn these skills and you'll be in demand,10-Oct-25,135,4376,80.6953,27,0.503,35798,4.83
#NAME?,Why You MUST Go All In on Data Analytics & AI in 2026,20-Oct-25,705,123214,7248.3216,5050,762.759,2070240,3.75
at_XfhjAeBo,The ONLY 5 Data Analyst Skills That Will Actually Matter in 2026,23-Oct-25,891,63393,4376.6129,2055,425.067,1087046,3.84
6N-a3aUSAKU,Robinhood SQL Interview Question: Cities with Completed Trades,24-Oct-22,650,52,3.3506,0,0.222,1218,2.22
Ia-K-VGi9jo,AI Just Changed the Data Analyst Job Market Forever,27-Oct-25,558,8640,520.6203,137,68.011,134093,4.13
z5u7ryOb1es,6 FACTS I Wish I Knew Before Becoming a Data Analyst,30-Oct-25,599,5058,368.0808,89,38.688,86844,3.34
gmosQxI4zbw,Your resume is no longer enough in this data analyst job market.,31-Oct-25,62,3975,26.5834,11,0.321,9941,3.17
pZ5wU4ajONw,The Entry-Level Data Analyst Job is a Lie,3-Nov-25,572,6170,393.8142,102,41.332,99604,4.07
2eprf2CVjoM,AI is replacing traditional coding jobs,4-Nov-25,37,3570,14.5553,2,0.237,7770,2.39
2pE7UWLOTHQ,Ranking Data Jobs for 2026 (From $50k Hell to $169k Roles),5-Nov-25,971,9304,836.7685,110,95.919,159296,3.77
jw-wX2En76k,Employers don’t trust claims. They trust results.,7-Nov-25,62,2033,14.4709,7,0.167,11078,2.14
#NAME?,Land A Data Analyst Job With Networking & AI,8-Nov-25,3626,1292,151.7832,7,3.427,31572,1.87
6I3GraG0ubg,The ONLY Way You Can Get Hired in Data Analytics,10-Nov-25,480,5922,319.7151,71,38.76,82758,4.53
PQbOClq_s1A,Don't Become a Data Scientist (Do THIS Instead),17-Nov-25,711,9271,733.6257,154,73.259,194995,2.9
6nCwi1c4YGs,Don't Apply for a Data Analyst Job Until You Watch This,20-Nov-25,485,4930,260.6901,50,24.965,71066,4.63
VUOznCNVshE,Uber SQL Interview Question: User's Third Transaction,21-Nov-22,445,41,1.8347,1,0.066,1266,1.97
9Br36UZXGn4,Take This Test Before You Choose Your Data Career,24-Nov-25,900,4572,393.4242,35,44.248,75870,3.63
U0cOleFSELY,Data Career Coach Ranks Learning Paths 1-10,28-Nov-25,71,2650,20.7177,4,0.267,11137,4.78
D7x_eIkaf9k,Stop Letting Job Descriptions Scare You,29-Nov-25,65,2022,15.6426,5,0.217,9147,2.51
#NAME?,The Most Important Skills to Be Successful in Data,30-Nov-22,149,1,0.033,0,,25,0
f_EFZsbra1E,3 Things You Must Do Before Applying to Data Analyst Jobs,30-Nov-25,86,1734,16.3382,6,0.185,9934,3.57
YydD3npqL40,Your Data Analyst Job Isn’t Safe...,1-Dec-25,943,3052,249.0032,30,29.833,55852,3.31
52f3YsZtuls,Important Skills to Be Successful in Data: Part II,2-Dec-22,100,16,0.2362,0,0.018,92,14.13
9uPGIPQ27zU,Did We All Get Played? The College Degree Scam,2-Dec-25,47,2325,10.0946,2,0.248,12583,3.26
ekUOpSQm3Og,Nobody Is Hiring Data Analysts In 2026,3-Dec-25,499,9692,536.6705,132,64.774,123413,5.14
pnJqZeqY9EU,Stop using LinkedIn Easy Apply,3-Dec-25,93,4877,55.6386,18,0.536,39735,4.17
vTjcVZ-zlZI,You're NOT Ready for The Next Phase of Data Analytics,5-Dec-25,987,5876,519.0972,75,37.637,100441,3.73
5Ygg3RYf830,Live Data Analyst Resume Review with REAL Tech Recruiters,5-Dec-25,3922,543,72.5378,0,0.207,13656,1.98
VuNXMuL3wwU,Live Data Analyst Resume Review with REAL Tech Recruiters 📱,5-Dec-25,3920,500,48.8925,2,0.039,12661,1.6
HPWlrUtXsUg,The Data Analytics Path That Actually Works,12-Dec-25,1003,64125,5435.4712,2662,542.159,1233360,3.3
6RRCBGqmmQQ,The 5 Data Analyst Levels and How to Reach Them,15-Dec-25,643,4358,314.6526,60,33.415,70516,3.69
7tc6Qa5MiZY,Most Data Analysts Miss This Skill Completely...,17-Dec-25,664,3013,184.4936,36,21.428,51198,3.65
DAo2KHf8esk,"This is Boring, But It'll Get You a Data Analyst Job in 2026",22-Dec-25,537,4343,254.1234,49,32.263,59892,4.57
